seller_id,product_category_name,customer_zip_code_prefix,payment_type,purchase_weekday,purchase_hour,purchase_month,total_orders,avg_purchase_to_approve,avg_approve_to_carrier,avg_carrier_to_customer,avg_lateness,late_rate
994f04b3718c2bab35c2adfa8afecd2a,utilidades_domesticas,13202,credit_card,1,13,11,1,0.41527778282761574,30.26638888567686,2824.5877777710557,2533.1649999953806,1.0
f08c008c8a8d31417763738a1788a2a8,esporte_lazer,48880,credit_card,6,14,12,1,0.1941666640341282,53.19833333417773,3265.096944451332,2517.314444448799,1.0
7ea5bfa6c340f58f8e71fc1f0412b0d6,bebes,22621,credit_card,5,15,01,1,23.915833331644535,48.2233333401382,3077.158333327621,2516.940277777612,1.0
8d79c8a04e42d722a75097ce5cbcf2ef,alimentos,69082,credit_card,3,19,05,1,0.17277777940034866,14.059444438666105,3318.8347222208977,2512.6469444409013,1.0
056b4ada5bbc2c50cc7842547dda6b51,eletronicos,6823,credit_card,6,15,02,1,0.3699999935925007,50.30805555358529,3069.4788888953626,2511.96361111477,1.0
2a1348e9addc1af5aaa619b1a3679d6b,ferramentas_jardim,31330,credit_card,4,09,05,1,0.1780555509030819,124.84805555641651,2686.6191666685045,2509.6377777792513,1.0
5d378b73ab7dd6f0418d743e5dcb0bd1,,28895,credit_card,2,21,11,1,0.3108333349227905,3018.301666662097,8.570555560290813,2400.315000001341,1.0
7a91bf945c6fae0779f1c61ce97fe45c,beleza_saude,20511,credit_card,5,19,08,1,0.2544444389641285,116.97194445133209,2646.91138888523,2351.3222222216427,1.0
da8622b14eb17ae2831f4ac5b9dab84a,cama_mesa_banho,8021,credit_card,1,20,05,1,0.19527778029441833,16.879166666418314,2500.115277774632,2321.2486111074686,1.0
eeb6de78f79159600292e314a77cbd18,ferramentas_jardim,48906,credit_card,3,16,01,1,23.865833334624767,25.74333333224058,2974.5783333331347,2320.9469444453716,1.0
8cc6a0e5738e61a87b03c78b2ba9db4b,papelaria,44930,credit_card,5,22,02,1,0.14222222194075584,81.14416666701436,3055.0566666573286,2318.7061111070216,1.0
640e21a7d01df7614a3b4923e990d40c,cama_mesa_banho,29278,credit_card,6,18,06,1,0.23805556073784828,42.8413888849318,3239.679444439709,2317.379444438964,1.0
712e6ed8aa4aa1fa65dab41fed5737e4,automotivo,37200,credit_card,6,10,12,1,0.180555559694767,727.608333338052,2469.9986111037433,2271.863888885826,1.0
e09887ca8c7bf8a4621ce481820414ef,moveis_decoracao,9571,credit_card,2,10,11,1,70.70916667208076,2432.6708333306015,24.631388895213604,2202.085555560887,1.0
ef506c96320abeedfb894c34db06f478,telefonia,27963,credit_card,0,18,10,1,0.21611111238598824,242.4599999897182,2393.227500010282,2126.3191666714847,1.0
